,Наименование категории,Суть обращения
51,другое,"О несогласии с действиями УК ООО ""ЖЭК ""Тульский дом"". О восстановлении бесперебойного горячего водоснабжения, неудовлетворительном напоре, температурном режиме горячей воды в квартирах в подъезде №3 жилого дома."
52,другое,"О личном приеме. Об охране окружающей среды, развитии технического прогресса. О развитии биотехнологии, направления ученого из Китая."
53,другое,"О несогласии с действиями должностных лиц, УК ОАО фирма ""РЭМС"". О несогласии с действиями соседей. О незаконной перепланировке. О несогласии с актом. О залитии потолка и стены в квартире заявителя. О ремонте в квартире заявителя. Об ответах на обращения. О подделке документов. Об избиении заявителя. О неполучении ответа на обращение от УМВД РФ по ТО."
54,другое,"О несогласии с возведением третьего этажа в историческом здании по адресу: г. Тула, ул. Союзная, д. 11, лит. А, А1. О несогласии с действиями Левинского Л.И. Об ответах на обращения."
56,другое,"О ремонте автомобильной дороги от поворота с автодороги регионального значения ""Тула-Белев-Рассвет"" до Птицефабрики. О зимнем содержании автодороги."
59,другое,О личном приеме. О поощрении в связи с юбилеем и за воспитание детей. Об оказании финансовой помощи. Об улучшении жилищных условий. О несогласии со снятием с льготной очереди на жилье.
60,другое,"О личном приеме. Об обследовании, обеспечении лекарственными препаратами, о лечении внучек заявителя. О получении сертификата на улучшение жилищных условий сыну Берникову В.Ю. О поощрении в связи с юбилеем и за воспитание детей. Об оказании финансовой помощи. Об улучшении жилищных условий. О несогласии со снятием с льготной очереди на жилье."
62,другое,"О несогласии с действиями соседа. Об уборке свалки мусора с земельного участка, принадлежащего соседу. О неприятном запахе."
63,другое,"Об ответе на обращение. О ремонте дорог, об отсутствии пешеходных дорожек, организации уличного освещения по ул. Ясногорская, ул. Воловская, ул. 1-й микрорайон, ул. Новомедвенская в п. Новомедвенский, г. Тула. О нарушении правил дорожного движения."
64,другое,"Об отлове безнадзорных животных в районе школы №62 в п. Мясново, г. Тула."
65,другое,"Об обустройстве детских игровых площадок в п. Иншинский, г. Тула. Об установке качелей, каруселей взамен демонтированных."
66,другое,Об обеспечении лекарственным препаратом (Летрозол). О несогласии с предоставлением аналогичного лекарственного препарата (Эстролет).
67,другое,"О несогласии с размером оплаты за ЖКУ (электроэнергия) по адресу: г. Тула, Ленинский район, д. Алешня, СНТ ""Полиграфист"", дачный участок №154. О проверки прибора учета потребления электроэнергии."
68,другое,"О несогласии с качеством проведенных работ по установке отливов с кровли по адресу: г. Тула, ул. Коминтерна, д. 21 и д. 23."
70,другое,О проведении консультации и обследования в институте имени академика Н. Н. Бурденко.
71,другое,О ремонте придомовой территории дома 26 квартал 50 лет Октября г. Узловая.
72,другое,"Об увековечивании памяти Илюхина С.Д. в одном из государственных учреждений здравоохранения Тульской области . О лекарственном обеспечении Крутыко Г.Н. О контроле температурного режма отопления в терапевтическом и инфекционном корпусах Узловская ЦРБ. О передаче иконы ""Алексия"" в ГУЗ ТО ""ТОКБ""."
75,другое,О личном приеме. О благоустройстве г. Узловая и Узловского района. О реализации мусорной реформы. Об ответах на обращения.
76,другое,О несогласии с действиями неустановленных лиц. О незаконном проникновении в квартиру заявителя. О взломе двери в комнату № 4. О порче имущества.
77,другое,"О фальсификации подписей жителей МКД. О несогласии с действиями УК ООО ""Лидер"". О выборе УК ООО ""Союз"". Об обслуживании жилого дома УК. О несогласии с задолженностью, оплатой квитанций за ЖКУ от УК ООО ""Лидер""."
78,другое,"О семейном конфликте. Об угрозах, избиении. О несогласии с выселением из жилья. О защите прав заявителя (инвалид). О заработной плате, о пенсии. О снятии с учета в психиатрической больнице. О несогласии с диагнозом."
80,другое,"О несогласии с действиями ООО ""Газпром межрегионгаз Тула"", прекращением поставки газа, расторжением ранее заключенных договор о поставке газа в жилое помещение, расположенное по адресу: г. Тула, ул. Станиславского, д. 31, д. 29. О несогласии с заключением нового договора о поставке газа."
81,другое,"О посещении музея Вдов войны в д. Почтовая Глинка, Беларусь. Об оказании помощи. Об отсутствии русской печки для отапливания музея Вдов войны."
83,другое,"О несогласии с действиями ООО ""Газпром межрегионгаз Тула"", прекращением поставки газа в жилое помещение, расположенное по адресу: г. Тула, ул. Станиславского, д. 31."
84,другое,"О несогласии с действиями ООО ""Газпром межрегионгаз Тула"", прекращением поставки газа в жилое помещение, расположенное по адресу: г. Тула, ул. Станиславского, д. 31, д. 29."
86,другое,"О проведении проверки правомерности установки знаков ограничения скорости, проверки соблюдения утвержденной схемы организации дорожного движения на участке дороги М2 ""Крым"" старого направления."
88,другое,"О несогласии с представленной фотографией в статье ""В поисках идеала"" в газете ""Тульские известия"" №134 от 22.11.2019."
91,другое,О несогласии с задолженностью по оплате взносов на капитальный ремонт общего имущества жилого дома.
92,другое,О газификации жилых домов по ул. Зеленая в п. Огаревка Щекинского района.
93,другое,О течи кровли над квартирой. О проживании в квартире и отселении. Об отсутствии в БТИ необходимых документов.
95,другое,Об ответах на обращения. О закрытии подвального помещения на замок. Об отсутствии освещения на межэтажных площадках в подъезде №1 жилого дома. О несогласии с качеством проводимых работ по ремонту стен в подъезде №1 жилого дома. О замене лампочек в подъезде жилого дома. О закрытии квартиры №11. Об уборке подъезда №1 жилого дома.
97,другое,"О качестве холодного водоснабжения. Об установке фильтров на котельной. Об уборке придомовой территории по адресу:г. Щекино, ул. Советская, д.25, ул. Победы, д.4, д.5, ул. Ленина, д.40а. Об установке парковочного устройства (блокатора) во дворе МКД №42 по ул. Ленина."
98,другое,"О границах территории объекта культурного наследия федерального значения - достопримечательное место ""Поленово"". О несогласии с запретом на строительство на земельном участке по адресу: Заокский район, с. Страхово, ул. Лесная, уч. 7. О внесении изменений в решение №9-235 в части исключения земельных участков КП ""Сосенки"", Заокский район из зоны с особыми условиями. О результатах работы межведомственной рабочей группы."
102,другое,"О дарении сборника стихов ""О родине, войне и воинах"" в библиотеку Тульской области. Об отзыве на книгу. Об оказании финансовой поддержки."
103,другое,"О перезахоронении родственников на территории Тульского кремля, возведении в лик святых. О возрождении обновленной российской империи."
104,другое,"О несогласии с качеством проведенных работ по ремонту водопровода по программе ""Народный бюджет"". О ремонте водопровода в д. Башево, Одоевский район. О несогласии с действиями МУП ""Одоевское ЖКХ"", задолженностью по оплате за ЖКУ (водоснабжение), оплатой работ по ремонту водопровода, обвинением заявителя в самовольном подключении к водопроводной сети, отключением водоснабжения по адресу: Одоевский район, д. Башево, д. 5. О перерасчете. О неполучении ответа от МУП ""Одоевское ЖКХ"". О предоставлении копии актов."
105,другое,О поиске родственников погибших воинов во время ВОВ. О софинансировании поездки ветеранов на братскую могилу.
106,другое,"О финансировании и реализации проекта АгроЭкоТехноПарк ""КИМОВЧАНИН"" на территории Тульской области. Об ответах на обращения."
107,другое,"О несогласии с нанесением сплошной разметки на дороге в д. Дудкино, Кимовский район. О невозможности выезда, въезда в с. Каркадиново. Об ответах на обращения. О нанесении прерывистой разметки на повороте в с. Каркадиново."
108,другое,Об ответе на обращение. О несогласии с оплатой за отопление на ОДН при наличии индивидуального источника отопления. Об отсутствии отопления в подъездах жилого дома.
109,другое,"О несогласии с действиями МП ""Водоканал"" г. Кимовск. О восстановлении бесперебойного холодного водоснабжения в жилых домах в г. Кимовске. О качестве воды. Об организации подвоза воды. Об оповещении жителей об отключении водоснабжения."
110,другое,О несогласии с задолженностью по оплате за ЖКУ (электроэнергия). О неполучении ответа на обращение от АО «ТНС энерго Тула»._x000D_
111,другое,"О ремонте дороги от с. Молоденки до с. Хованщино, Кимовский район. Об ответе на обращение. О работе водонапорной башни, восстановлении водоснабжения в жилых домах в с. Хованщино."
113,другое,Об оказании медицинской помощи. О получении квоты на операцию в ЦИТО.
114,другое,"О подключении земельных участков, выделенных многодетным семья, семьям с детьми-инвалидами, к сетям водоснабжения и водоотведения по адресу: г. Новомосковск, д. Малое Колодезное. О выделении средств на разработку проектно-сметной документации с прохождением государственной экспертизы."
115,другое,О личном приеме. О твердых бытовых отходах. Об ответах на обращения.
116,другое,"О предоставлении жилья. О получении субсидии на улучшение жилищных условий (малоимущая, многодетная семья). О несогласии со сроками получения субсидии на улучшение жилищных условий."
117,другое,Об установлении диагноза дочери заявителя. О несогласии с действиями сотрудников министерства здравоохранения Тульской области. О медицинской помощи. О получении заключения. О несогласии с действиями начальника отдела ведомственного контроля качества медицинской помощи Сертаковой О.В. О работе врачей. Об организации встречи со специалистами министерства здравоохранения Тульской области.
118,другое,"О несогласии с реформированием системы сбора, переработки и утилизации ТБО в Тульском регионе. О прекращении деятельности регионального оператора ООО ""МСК-НТ"", оплаты за ЖКУ (вывоз мусора). О заключении договора на вывоз мусора. О несогласии с действиями регионального оператора ООО ""МСК-НТ"". Об отставке министра природных ресурсов и экологии Тульской области Панфилова Ю.Ю. О конкурсе по отбору региональных операторов по обращению с твердыми бытовыми отходами. О запрете ввоза мусора из других регионов на территорию Тульской области. О недостоверности отчетов регионального оператора ООО ""МСК-НТ"" 2019. Об установлении норматива накопления. О расторжении соглашения. Об организации общественного контроля."
119,другое,"Об организации пешеходной дорожки (тротуара) от ул. Чайной, с. Дедилово, Киреевский район."
121,другое,"О предоставлении недостоверных сведений о площади квартиры заявителя по программе переселения. О несогласии с отключением водоснабжения, газоснабжения по адресу: Киреевский район, п. Комсомольский, ул. Шахтная, д. 6, кв. 11."
122,другое,"О реновации жилья. О несогласии с оплатой за ЖКУ (содержание и ремонт жилья). О неудовлетворительном состоянии жилья в г. Болохово, Киреевский район. О работе с должниками по оплате за ЖКУ. Об оплате за ЖКУ (электроэнергия). _x000D_"
123,другое,"О покупке квартиры (многодетная семья) по адресу: Киреевский район, п. Приупский, ул. Клубная, д. 10, кв. 1. О договоре купли-продажи квартиры."
124,другое,"О личном приеме. О признании жилья аварийным. О постановке на очередь для улучшения жилищных условий (инвалид). О получении субсидии. Об ответах на обращения. О несогласии с проведением независимой экспертизы за счет средств заявителя. Об отсутствии рабочих мест в п. Арсеньево, г. Суворове."
126,другое,"О личном приеме. О несогласии с действиями должностных лиц, предоставленным жильем при переселении из аварийного жилья."
128,другое,"О несогласии с установкой площадки для сбора мусора между д. 59 по ул. Механизаторов и д. 158 по ул. Фролова в п. Теплое, Тепло-Огаревский район. О переносе площадки для сбора мусора в другое место. Об ответе на обращение."
129,другое,"О неудовлетворительном состоянии ДК в п. Кировский, Тепло-Огаревский район. Об отсутствии отопления, о ремонте кровли в ДК."
130,другое,"О несогласии с ответом. О работе телефона 8 (48741) 5-07-07.О несогласии с действиями директора ГУ ТО ""Комплексный центр социального обслуживания населения №4"" Данилиной О.А. Об уборке мусора, о своевременном вывозе мусора, об обработке пескосоляной смесью тротуаров в п. Теплое, Тепло-Огаревский район."
131,другое,"О мошенничестве. О несогласии с действиями многодетной матери Лосевой Н.Ш., Уторовой А.А. О незаконном получении льгот на несовершеннолетних детей. О содержании, воспитании детей. О защите прав несовершеннолетних. О несогласии с действиями начальницы социальной защиты Тепло-Огаревского района Паршиковой. О коррупции. О моральном поведении Уторовой А.А. О махинациях с жильем. О проведении проверки. О лишении родительских прав Лосеву Н.Ш. О передаче детей в детский дом."
132,другое,"О благодарности Басилая А.В. О благодарности департаменту здравоохранения Тульской области от жителей Белевского района.О размещении морга на территории ГУЗ ""Белевская  ЦРБ"". О лекарственном обеспечении Никаноровой К.Г. О передаче стоматологического оборудования для ГУЗ ""Белевская  ЦРБ"""
134,другое,"О капитальном ремонте жилого дома (памятник истории и культуры) по адресу: г. Белев, ул. Привокзальная, д. 5. Об оплате взносов на капитальный ремонт общего имущества жилого дома."
135,другое,"О переселении из ветхого жилого фонда. О сырости, ликвидации плесени, неудовлетворительном состоянии жилья. О пристройке в жилом доме. О несогласии с размером оплаты за ЖКУ."
136,другое,"О ремонте подъездной дороги до д. Жежельна, Ясногорский район. О несогласии с перепахиванием дороги."
137,другое,"О предоставлении земельного участка по адресу: Ясногорский район, д. Тормино, ул. Южная, южнее участка 7-а. О несогласии с отказом в формировании границ земельного участка."
138,другое,Об оформлении прав на земельный участок в д. Хвошня Ясногорского района.
139,другое,"О ремонте системы канализации, затоплении подвала жилого дома канализационными стоками. О бездействии УК ООО «Инженер Про». О неприятном запахе."
141,другое,"О положении дел в ГУЗ ""Донская городская больница №1"". О несогласии с действиями главного врача, администрации ГУЗ ""Донская городская больница №1"", со вскрытием писем. Об ответе на обращение. О получении результатов проверки."
143,другое,"О содержании, выполнении работ по грейдированию дороги, о ремонте дороги по ул. Артезианская, г. Донской. Об асфальтировании дороги по ул. Артезианская по программе ""Народный бюджет 2019"". О несогласии с качеством проведенных работ по вырубке кустов. О вывозе спиленных кустов."
144,другое,"О ремонте подъездной дороги к МКОУ ""Ступинская СШ №14"", Ступинскому сельскому ДК, почтовому отделению в с. Ступино, Ефремовский район. О ремонте участка дороги с. Ступино-с. Тюртень."
145,другое,"О положении дел в МКУ ДО ""Ефремовская детская художественная школа"". О несогласии с действиями директора МКУ ДО ""Ефремовская детская художественная школа"" Ульянова Н.С., увольнением преподавателя Рязановой Н.А. О несчастном случае в МКУ ДО ""Ефремовская детская художественная школа""."
146,другое,О несогласии с действиями должностных лиц. О самозахвате земельного участка заявителя. О несогласии с указанием Филиной М.С. в списке собственников земельных участков. Об оказании помощи в сборе документов.
147,другое,О личном приеме. О несогласии с действиями подрядчика. Об оплате по договору долевого участия. О несогласии с расторжением сделки (многодетная семья).
148,другое,"О личном приеме. О несогласии с действиями УК ООО «Любимый Дом», соседей. О несоставлении акта. О залитии квартиры заявителя. Об установлении и устранении причины течи. О замене стояка. Об ответах на обращения. Об оскорблении заявителя."
149,другое,"О ликвидации плесени, залитии квартиры заявителя. О бездействии МУП ""Новогуровская Управляющая Компания"". Об устранении протечки кровли над квартирой заявителя. О ремонте кровли жилого дома."
150,другое,О несогласии с повышением тарифа на тепловую энергию. Об ответе на обращение.
152,другое,"О проверке внутридомового газового оборудования. О несогласии с начислением оплаты за ЖКУ (техническая диагностика внутриквартирного газового оборудования), оплатой за отопление на ОДН. Об отсутствии прибора учета тепловой энергии в подъезде №1 жилого дома."
153,другое,"О технической инвентаризации объектов жилого фонда и переселения из ветхого, аварийного жилья."
154,другое,"О несогласии с отменой утреннего рейса по маршруту ""г. Богородицк - г. Тула""."
175,другое,"Заявитель в преклонном возрасте, не помнит вопрос, по которому звонила. При необходимости самостоятельно повторно перезвонит."
177,другое,Жалоба на несоблюдение графика движения маршрута 159 и 159к 6 января 2020 года
178,другое,Прошу Вас оказать содействие в получении знака Почётный работник транспорта России.
179,другое,Просим Вас принять меры по установки столбов освещения на пешеходном переходе перед поворотом на п.каменецкий и современный знак со световой сигнализацией предупреждающий о пешеходном переходе.
180,другое,Обращение по проблеме общественного транспорта из района Сокольники в центр Новомосковска  в вечернее время
182,другое,"Нарушение графика маршрута Тула - п.г.т. Новогуровский_x000D_ 1. Почему продавали билеты и врали, что автобус вот вот прибудет? Сотовая связь в этот день работала и водители наверняка имеют мобильные телефоны. _x000D_ 2. Почему не предупредили хотя бы в 13:00, что следующий рейс в п.г.т. Новогуровский в 14:30?. Некоторые пассажиры могли бы воспользоваться другими маршрутами: автобусным рейсом Тула-Калуга (до остановки Новоклейменово) или рельсовым автобусом (до станции Суходол)._x000D_ 3. Почему не заменили ""сломавшиеся"" автобусы резервными или с другого (более частого маршрута)? Я 40 лет пользуюсь этим маршрутом. Бывало всякое:_x000D_ - сломавшийся автобус заменяли на автостанции;_x000D_ - пассажиры сломавшегося в ПУТИ у пос. Рождественский автобуса пересаживались на резервный, прибывший через 20-25 мин.;_x000D_ - для пассажиров слоиавшегося в ПУТИ у пос. Богучарова микроавтобуса также минут через 20-25 прибыл по звонку водителя резервный микроавтобус._x000D_ Но в этот раз отлаженная система (или конкретные люди) не сработала._x000D_ 4. Почему никто не объяснил ситуацию и не извинился? Люди с билетами просидели на автостанции более двух часов._x000D_ 5. Подумал ли кто нибудь о людях (возможно с детьми - ведь каникулы), которые ждали эти рейсы на промежуточных остановках на ветру и холоде._x000D_"
185,другое,'Здравствуйте! У меня лично вот такой вопрос. Раньше был сайт mirsud.tularegion.ru. Сейчас он почему то не работает. Есть новый сайт или это проблема со старым? Я уже несколько месяцев не могу проверить информацию у мировых судей по судебному гражданскому делу.'
186,другое,Жалоба на отказ жене заявителя в посещении туалета в ГКЗ г. Тула.
188,другое,Жалоба на общественный транспорт. Почему после нового года в разы сократили количество машин на маршруте автобуса 44.
189,другое,"Жалоба на нарушение скоростного режима. Сегодня 09.01.2020 в 10:40 автобус следовавший по маршруту 117 пронесся с бешеной скоростью по указанному месту, обдав при этом меня грязью с дороги."
192,другое,"Обращение  по поводу оборудования остановки общественного транспорта ""Автоколонна 1136"" по Новомосковскому шоссе, тротуара."
196,другое,"Прошу Вас рассмотреть возможность проведении  маршрута №154 ""Новомосковск - пос. Каменецкий"" до магазина ""Пятёрочка"" ТО Узловского района, пос. Каменецкий, ул.Клубная, д.5"
200,другое,"Способ передачи нагрудного знака ""Берегу голос для Путина"" Губернатору ТО А.Г. Дюмину."
201,другое,"Здравствуйте! 12 декабря 2019 года я обратилась к Вам с просьбой помочь мне найти информацию о моей заработной плате за годы работы корреспондентом в  арсеньевской районной газете ""За коммунизм"" (ныне ""Арсеньевские вести"") с 8 августа 1988 по 30 августа 1991 года для начисления пенсии"
202,другое,"Об обустройстве ступенек для пешеходного спуска по адресу: ул. Строителей, д. 1, п. Рождественский, г. Тула. Об ответе на обращение."
205,другое,"Об обустройстве контейнерной площадки по адресу: г. Тула, ул. 4 проезд Мясново, д. 51. О несогласии с местом установки мусорных баков, об уборке мусора."
206,другое,"О несогласии с отключением водоснабжения в жилых домах по ул. Вишневая, ул. Ступинская, совхоз Новомедвенский, г. Тула."
207,другое,"О ремонте лифтов в жилом доме по адресу: г. Тула, ул. Хворостухина, д. 17. О бездействии управляющей компании УК ""Развитие Сервис""."
208,другое,"Об оборудовании бассейна (Болдина, 120) для посещения лиц с ограниченными физическими возможностями и прилегающей парковки."
211,другое,О несогласии с оплатой взносов на капитальный ремонт жилого дома при достижении 80-летнего возраста.
214,другое,"Об отлове безнадзорных животных по адресу: г. Тула, ул. Пузакова, д. 74. О несогласии с подкармливанием собак."
216,другое,"Об ответе на обращение. О благоустройстве территории, ограниченной ГУЗ ""Детская инфекционная больница № 4 г. Тулы"", детской площадкой и домами по ул. Новомосковская, г. Тула. Об окосе сорной растительности, отсутствии оборудованных спусков."
