,Group,Sence,Text
21,благоустройство,ужасно,"В конце 2017 к чемпионату мира по футболу отремонтировали и переделали площадь у Дворца Молодёжи. Этим летом мы обнаружили, что часть высаженных яблонь засохла, бетонные блоки из ступенек выломаны. Удивительным оказалось другое: Комитет благоустройства г. Екатеринбурга оказался некомпетентен в этом вопросе и переслал обращение тому, кто этим никогда не занимался. С помощью мягкой силы Прокуратуры, удалось узнать, что заказчиком работ выступало Управление капительного строительства Свердловской области. Исполнителем работ оказалось то же ООО ""Лев"", которое сделало кривую плитку на набережной городского пруда и которому по этому поводу администрация города продолжает строчить претензии. Стоимость всех строительных работ в 2017 составила скромные 116 млн. руб. Но самой приятной вишенкой, оказалось то, что гарантия на работы 5 лет, и УКС сказало, что направило письма подрядчику и что всё-всё должно быть устранено. Что же, будем посмотреть, и до ноября 2022 г. можно будет по всем недоделкам и поломкам в парке у Дворца молодежи писать обращения!."
22,благоустройство,плохо,"В Дендропарке перед Гринвичем тоже пластиковые потрескавшиеся фонари вместо чугунных. Похоже, это новый тренд у Администрации города"
24,благоустройство,плохо,"Больше года потребовалось на то, чтобы засыпать яму, образовавшуюся от демонтажа фундамента незаконной рекламы, на перекрёстке Луначарского-Шевченко. Ну и ремонт труб на Шевченко почти всё лето сыграл в этом негативную роль."
25,благоустройство,хорошо,"В летний период 2020 года будут выполнены работу по понижению бортового камня по адресу: Студенческая, д. 39."
26,благоустройство,хорошо,"В 2020 году будут заменены сломанные урны по адресу: ул. Репина, д. 2 возле Центрального стадиона."
27,жкх,отлично,"После жалобы был приведён в нормативное состояние канализационный люк по адресу: Тургенева, д.4."
28,транспорт,плохо,"Мы давно призываем городские власти обособить все трамвайные линии в городе от автомобильных дорог. Это исключит пробки из автомобилей на трамвайных путях и позволит ускорить трамвайное движение в городе. Пассажиры трамваев смогут даже в часы пик беспрепятственно и быстро перемещаться по городу! 🚈  Посмотрите на видео это пробка на трамвайных путях на улице Луначарского 😕 Разве это нормально? НЕТ! Автомобили не должны мешать передвижению общественного транспорта, просто потому что во всех автомобилях в заторе сидит максимум несколько десятков человек, а в 4-5 вагонах трамвая под полтысячи людей! Логично, что несколько десятков человек в автомобилях должны уступить дорогу сотням людей в трамваях.  Давайте все вместе попросим мэрию Екатеринбурга отделить трамвайные пути на Луначарского от автомобильной дороги!  Образец обращения:  На улице Луначарского на участке от ул. Малышева до ул. Куйбышева с постоянной периодичностью в часы пик наблюдаются автомобильные заторы на трамвайных путях, что препятствует свободному движению трамваев на данном участке.    Прошу рассмотреть возможность включения в планы на 2020-2021 годы физического обособления бордюрами трамвайных путей по ул Луначарского на участке от ул Малышева до ул. Куйбышева.  Электронная приёмная администрации Екатеринбурга: Екатеринбург.рф  Максимальный репост! 😈"
30,СПАМ,нейтрально,Поздравляем екатеринбургский трамвай с 90-летием! УРА!
31,жкх,хорошо,"По нашей жалобе восстановлена несущая стена в арке жилого дома на Рассветной 13 на ЖБИ  Если в вашем доме что-то разрушается или протекает, а управляющая компания ничего не предпринимает для ремонта, то сразу же отправляйте жалобу через наше приложение ""Гражданский патруль"" https://play.google.com/store/apps/details?id=com.punicapp.citypatrol&hl=ru https://apps.apple.com/ru/app/grazdanskij-patrul/id1079790780?l=en  Инструкция: 1. Установка и регистрация. В случае если вам не пришел код для регистрации в системе напишите в сообщения группы https://vk.com/civilpatrol 2. В окне ""Тип жалобы"" нужно выбрать пункт наиболее подходящий по смыслу к вашей проблеме. 3. В разделе «Комментарий» подробно опишите суть проблемы. 4. Укажите точный адрес или наиболее близкое здание, а в комментариях опишите, как найти необходимое место. Также можно оставлять координаты широты и долготы (для свалок мусора в парках и лесах). 5. Добавьте фотографии. Если фотографий много то после отправки жалобы остальные фотографии можно отправить в сообщения группы https://vk.com/civilpatrol с указанием номера жалобы. 6. Нажмите кнопку «Создать».  Готово. Вы восхитительны! Теперь нужно ждать ответа от чиновников (обычно месяц, ответ придёт в приложение) и следить как меняется ситуация по вашей проблеме."
32,благоустройство,плохо,"На Химмаше только благоустроили тротуары и обновили газоны, и тут же приехал убирать снег доблестный тракторист из Чкаловского ДЭУ, чтобы всё привести в ""надлежащее"" состояние. Куда направлять жалобу не знаю, так как администрация Чкаловского района наверняка ничего, исходя из опыта, делать не будет..."
33,СПАМ,нейтрально,"В пятницу в Екатеринбург прилетает руководитель Гражданского патруля Ростислав Антонов - создатель нашего приложения для отправки жалоб.  Кому интересно встретиться, пообщаться в пятницу в 18.30 приходите на Химиков 3 в кафе Бабушка-Маруся."
34,благоустройство,плохо,"На Куйбышева-Белинского Синара повесила гигантский слепящий экран, затрудняет вождение."
35,благоустройство,плохо,"Помните новость про сквер, где поставили фонари, которые не горят? Так вот пару недель они поработали и вот опять:). А мне, наверно ""больше всех надо"", ""тоже мне умный нашёлся""... (кольцо Ясная Бадина, до кдц дружбы и дальше)"
36,благоустройство,хорошо,"Многие, наверно, помнят некрасивую историю с частным музеем камня, который в 2015 г. выгнали из здания гостиницы Большой Урал? Для борьбы с музеем собственники (а здание в федеральной собственности) установили уродливый бетонный забор, причём на земле общего пользования. И вот, несмотря на полученный ответ, что забор установлен с целью безопасности, его больше нет."
37,жкх,хорошо,"Водоканал привёл в надлежащее состояние люк на Хохрякова 104, и ему на это понадобилось всего лишь 5 месяцев. Рядом парк Зелёная роща, стадион Юность, но если что, то виноваты пешеходы, которые не смотрят под ноги"
38,транспорт,плохо,"Вместе с тем нам отказали в переносе за поворот трамвайной остановки ""Дом Художника"" 😡 но мы продолжим бороться за безопасность пассажиров общественного транспорта Екатеринбурга!  Посмотрите видео с остановки ""Дом Художника"" и оцените насколько там опасно. Чиновники почему то в упор видят никакой опасности."
39,транспорт,хорошо,"УРААААААААА!  Реконструкцию трамвайной остановки Шарташская (в обе стороны) включат в планы на 2020-2021 годы. На остановках построят посадочные площадки, а значит уже через несколько лет остановка станет гораздо более безопасной для пассажиров трамваев чем сегодня!"
40,благоустройство,плохо,"Фасад бывшего института на Луначарского 31 очистили от граффити. Ну как очистили - замазали ещё одним слоем краски и получившийся серый холст аж тянет и зовёт нарисовать на нём что-нибудь ещё. А ведь на самом деле фасад облицован толстыми гранитными плитами, у которых эстетическая привлекательность больше самой дешёвой краски..."
42,благоустройство,отлично,"И вот по-настоящему редкое, но приятное событие в нашем городе: в сохранившийся земляной стакан на Мамина-Сибиряка (рядом с Шевченко) посадили новое дерево, а не закатали это место в асфальт. Остаётся надеяться, чтобы хорошо прижилось. Глядишь, и научатся приствольное пространство делать, чтобы свежую почву не вымывало дождями"
43,СПАМ,нейтрально,"С троллейбусом что-то не так. Очень похоже, что он поедает плитку. 😊"
44,транспорт,хорошо,"Исправлено название остановки на текущее: с Короленко на Протезно-ортопедическое предприятие... P.S. Вывеску Продукты тоже исправляли, но она снова быстро отвалилась"
45,благоустройство,плохо,"Перекресток Победы- Индустрии, в этом году дорогу по улице Индустрии ремонтировали.. в итоге ливневка находиться по уровню выше чем часть дороги и в дождь на дороге вот так((  Отправляйте жалобы на проблемы вашей улицы через наше приложение ""Гражданский патруль""  https://play.google.com/store/apps/details?id=com.punicapp.citypatrol&hl=ru https://apps.apple.com/ru/app/grazdanskij-patrul/id1079790780?l=en   Инструкция:  1. Установка и регистрация. В случае если вам не пришел код для регистрации в системе напишите в сообщения группы https://vk.com/civilpatrol  2. В окне ""Тип жалобы"" нужно выбрать пункт наиболее подходящий по смыслу к вашей проблеме.  3. В разделе «Комментарий» подробно опишите суть проблемы.  4. Укажите точный адрес или наиболее близкое здание, а в комментариях опишите, как найти необходимое место. Также можно оставлять координаты широты и долготы (для свалок мусора в парках и лесах).  5. Добавьте фотографии. Если фотографий много то после отправки жалобы остальные фотографии можно отправить в сообщения группы https://vk.com/civilpatrol с указанием номера жалобы.  6. Нажмите кнопку «Создать».    Готово. Вы восхитительны! Теперь нужно ждать ответа от чиновников (обычно месяц, ответ придёт в приложение) и следить как меняется ситуация по вашей проблеме."
46,благоустройство,плохо,Сегодня нашего волонтёра чуть не покалечила штукатурка обвалившаяся с фасада дома 137 по улице Мамина- Сибиряка. Это самый центр - между Первомайской и Ленина.  Готовим жалобу. Если вы заметили что где-то также обваливается штукатурка с фасада или осыпаются балконы - скидывайте фото нам!
47,СПАМ,нейтрально,Когда долго нет автобуса.
48,благоустройство,плохо,"Угол Радищева и Добролюбова - центр города, впереди слева полпредство, дальше прямо обновленная набережная, но что это прямо перед нами? Всё просто - это наша любимая городская грязь! А не газон, как считает ГОСТ и чиновники. Вот буквально сейчас тротуар есть и на другой стороне улицы он тоже есть, а дорогу здесь переходить не смей. Тут опасно. Только люди будут продолжать переходить улицу и задача чиновников сделать это безопасно и удобно, при том что расстояния и видимость дороги это позволяют, а не ссылаться на технический паспорт! Самое интересное, что панорамы яндекс.карт показывают, что раньше здесь было нормальное покрытие, но не забывайте сейчас идёт работа по безопасным и качественным дорогам, а для этого тротуар надо убрать!"
49,транспорт,плохо,"НОВЫЕ ПРОЕЗДНЫЕ БИЛЕТЫ ДЛЯ ШКОЛЬНИКОВ  В сентябре мы все вместе отправляли обращения заместителю Главы Екатеринбурга по вопросам благоустройства, транспорта и экологии  Бубнову Алексею Эдуардовичу с просьбой внедрить на муниципальном транспорте вменяемую систему проездных билетов по примеру Москвы.  Конечно нам отказали даже не вникая в суть наших предложений, а просто исписав три листа бумаги выдержками из законов ¯\_(ツ)_/¯  Мне так вообще прислали только первый лист ответа, и о чем там идёт речь, я могу только догадываться. Прикрепляю лист что прислали мне и ответ другому неравнодушному жителю города.  Однако, мы продолжим добиваться внедрения гуманной системы проездных билетов. На этот раз мы предлагаем потребовать внедрения дешевых проездных билетов для школьников.  Родители екатеринбургских школьников посчитали, сколько семья тратит на проезд детей. Получилось 1 500 — 2 000 в месяц. Тем временем, в Москве за школьный проездной платят 655 рублей (метро + наземный транспорт), а в Питере — 515.    В прошлом году проезд для школьников стоил 1 000 рублей в месяц. Но теперь из него исключили метро. По подсчётам родителей, теперь они платят почти в два раза больше. Если только ребёнок не пользуется всегда только одним видом транспорта (650 руб/месяц). Ссылка - http://www.mosgortrans.ru/student/  Все вместе требуем внедрения гуманных проездных билетов для школьников по типу проездных билетов в Москве: Пишем в электронную приёмную администрации Екатеринбурга на Екатеринбург.рф  Текст обращения: https://docs.google.com/document/d/1CzIEhSvMIxOFmC2bSCJDyrL4tGgYXFZ6N9aKFnqrnvo/edit?usp=sharing  РОДИТЕЛИ, МАКСИМАЛЬНЫЙ РЕПОСТ!"
50,транспорт,плохо,"Почему не моют стёкла у автобусов и в принципе сами автобусы что внутри, что снаружи? Пользоваться таким транспортом неприятно."
51,СПАМ,нейтрально,Как устроена новая набережная в Екатеринбурге
52,СПАМ,нейтрально,"А пофотографируйте и скиньте нам в комментарии, какие теперь у вас автобусы ходят на маршрутах: №15 ""40 лет ВЛКСМ - Пехотинцев"". № 22 ""Институт связи - Палкинский Торфяник. № 48 ""ф-ка Авангард - Широкая Речка"". № 64 ""Компрессорный - Мичуринский"". № 047 ""Трактовая - Громова"". № 053 ""Коммунистическая - Ползунова"".  А то помнится нам обещали ужесточение требований к подвижному составу частников на муниципальных маршрутов, а нам поступают жалобы на то что частники по маршрутам чуть ли не газели пустили 😡 С остальных маршрутов тоже скидывайте, если видите на линии форды, Hyundai County и прочие маловместительные газели."
53,транспорт,хорошо,Также организован пешеходный переход через улицу Дарвина от школы №131 к школе №6. Отправляли обращение 24 мая 😎 https://vk.com/comfy_city?w=wall-70901456_29465
54,транспорт,отлично,"УРА! Новый пешеходный переход!  На этот раз через улицу Зоологическую. О том что там нужен пешеходный переход нам писали местные жители и мы требовали его организовать с 2016 года. Спустя почти три года переход появился. Наш проект ""Пешеходные переходы для Екатеринбурга"" приносит плоды спустя годы! Хоть изначально нам и отказали 😁"
55,жкх,плохо,Поликлиника на Ленина 52. Также в оформлении представлены лампы времен СССР и линолеумные заплатки.
56,транспорт,плохо,"Не знаю куда обращаться. Маршрутка 030 не приспособлена к перевозке пассажиров стоя.  При проезде стоя не за что взяться. Поручни находятся во второй половине салона и под самым потолком. Девушке крайне не удобно держаться за него. Проходы очень узкие. Окна так низко, что когда стоишь не видно где проезжаешь, а остановки не объявляют. Маршрутка км 339"
57,благоустройство,плохо,"Снято сегодня ночью в районе КРК Уралец . Собирает щеткой грязь, а сзади из шланга льется грязная, буквально черная, вода на эту же дорогу.  Подскажите, так и должно быть?"
58,транспорт,отлично,"Ура!  Наконец-то сделали пешеходный переход через улицу Толмачева, организацию которого мы добивались с 2016 года! Раз https://vk.com/comfy_city?w=wall-70901456_9164 Два https://vk.com/comfy_city?w=wall-70901456_9794   В первых ответах чиновники вешали нам лапшу на уши, что сделать пешеходный переход здесь можно только с установкой светофора(!) 😄  Теперь на этом перекрёстке на тротуарах нужно сделать выступы безопасности на для пешеходов. Это позволит сократить время перехода проезжей части. Крайние правые полосы всё равно заняты припаркованными автомобилями и пропускная способность сократится незначительно."
59,СПАМ,нейтрально,Новый Уралтрансмашевский трамвай не выдержал испытания Екатеринбургом... 😟
60,транспорт,плохо,"🔵 Уважаемые жители города Екатеринбург. Приехал на экскурсию в ваш город в начале октября. Удивился, что в столице Урала так наплевательски относятся к пассажирам общественного транспорта. Расписание есть не везде. А если оно есть, то написано очень мелким шрифтом (а по ГОСТ должно читаться с 3 метров). Расположено сильно высоко.  Платформы для трамваев узкие и не всегда даже они есть. Пассажиры стоят ждут травмай посередине дороги (на площади 1905 года например).  Почему так ? А ещё сильно дорогой проезд 28 ₽, считаю, что качество вагонов и обилие рекламы в трамваях достойно проезда в 20 ₽.  А ещё нет выделенных полос и все автобусы абсолютно разных марок, размеров, расцветок😱. Нет впринципе единого транспортного оформления. А в метро даже нельзя провезти велосипед, сразу полиция грубо пресекает. Как такое возможно в 2019 году в эпоху очеловечивания городов?😐"
61,транспорт,плохо,"Мы засняли как маршрутки 056 и 48 проезжают мимо остановки ""Дом музыки"" не останавливаясь. Это постоянная ситуация на данной остановке. Жалобы отправлены.  Если маршрутчики не останавливаются на вашей остановке, фотографируйте их и отправляйте жалобы через наше приложение ""Гражданский патруль"" с указанием даты, времени, маршрута и госномера автобуса - это серьёзное нарушение и их за это накажут и нарушения прекратятся.  Отправляйте жалобы на проблемы вашей улицы через наше приложение ""Гражданский патруль""  https://play.google.com/store/apps/details?id=com.punicapp.citypatrol&hl=ru https://apps.apple.com/ru/app/grazdanskij-patrul/id1079790780?l=en    Инструкция:  1. Установка и регистрация. В случае если вам не пришел код для регистрации в системе напишите в сообщения группы https://vk.com/civilpatrol  2. В окне ""Тип жалобы"" нужно выбрать пункт наиболее подходящий по смыслу к вашей проблеме.  3. В разделе «Комментарий» подробно опишите суть проблемы.  4. Укажите точный адрес или наиболее близкое здание, а в комментариях опишите, как найти необходимое место. Также можно оставлять координаты широты и долготы (для свалок мусора в парках и лесах).  5. Добавьте фотографии. Если фотографий много то после отправки жалобы остальные фотографии можно отправить в сообщения группы https://vk.com/civilpatrol с указанием номера жалобы.  6. Нажмите кнопку «Создать».    Готово. Вы восхитительны! Теперь нужно ждать ответа от чиновников (обычно месяц, ответ придёт в приложение) и следить как меняется ситуация по вашей проблеме."
62,благоустройство,плохо,"В целом я не против, если там будет парковка, но если она будет законной (паспорта объекта нет, никаких других табличек тоже нет). Спецтехника передвигается по новой тротуарной плитке и уже ее разбила, въезд организовали максимально удобный для себя наплевав на пешеходов, которые идут на остановку им Дарвина.  Хотелось бы проверить данное мероприятие на законность.  Кто-то из местных жителей уже пытался вырвать основу для забора, но на следующий день всё было восстановлено."
64,транспорт,нейтрально,"В 2019 началась разработка проекта второй ветки метрополитена (ВИЗ - ЖБИ), были выделены деньги для начала проектирования. но я нигде не нашел, а для чего эта линия? Какие цели преследуются? Какие задачи будут решены? Вторая ветка метро должна пройти параллельно даже не трём а ВСЕМ видам транспорта!?!  Вторая ветка метро должна избавит центр от пробок, а если нет пробок, то на маршрутке будет даже быстрее?!? Вторая ветка метро должна обеспечить пересадку на первую, и это будет происходить на самой загруженной станции?!? Вторая ветка метро проходит на всем протяжении ""под трамвайной линией"", может стоит на поверхности дать приоритет трамваю, чем закапывать его под землю!?! Есть только громкие заявления, что нам нужно метро!!! ДА метро нужно, но есть одно но, метро должно решать множество транспортных задач современного мегаполиса. В первую очередь это должен быть целый комплекс мер по обеспечению комфортного передвижения в городе!  Считаю необходимым на данном этапе отказаться от проектирования второй ветки метрополитена (ВИЗ - ЖБИ), а заняться комплексной проработкой третьей ветки метро ""диагональной"" (Академический - северный Шарташ) от ЕКАД на юго-западе!!! На этом направлении нет прямых маршрутов общественного транспорта, метро ничего не будет дублировать или заменять. Диагональной линией метро будут объединены сразу несколько динамично развивающихся микрорайонов с населением в сотни тысяч человек, кроме этого линией метро смогут воспользоваться жители пригорода сразу нескольких направлений, а не только Московского и Тюменского, при условии расположения станций на ЕКАД. Каждая станция диагональной линии предоставит возможность совершить пересадку на другие виды транспорта минимум в четырёх направлениях, максимум от станции до конца микрорайона три остановки. Плюс будут траспортно-пересадочные узлы Бажовская и Первомайская, которые обеспечат удобную пересадку на другие направления, метро первой линии, аэроэкспресс, а также городские и пригородные электрички.   Карта планируемого размещения объектов местного значения городского округа - муниципального образования ""город Екатеринбург"" в части общественного транспорта  https://обсуждения.екатеринбург.рф/file/ed1ba48b2d7b312ebf5393992ed81cc7"
65,благоустройство,хорошо,"Немного с опозданием отчитываемся: по нашему обращению в 2016 году возле администрации Железнорожного района убрали знак, разрешающий парковаться только работникам администрации. 😊  А ещё за это время чиновники по своей инициативе высадили деревья. 👍🏻"
67,благоустройство,плохо,"Направьте, пожалуйста, обращение в администрацию о том, чтобы убрали визуальную преграду на остановке у Главпочтамта. Патриотично, конечно, но убивает всю функциональность остановки: пассажирам, сидящим внутри комплекса не видно дороги -> они выходят ближе к дороге, чтобы не пропустить свой автобус -> новая «умная» остановка становится бесполезной и неиспользуемой.  Часто хожу там и прямо больно смотреть"
68,благоустройство,плохо,"В СК Калининец на Эльмаше проведена колоссальная реконструкция с укладкой асфальта, организацией газонов и т.п. Но исполнение, к несчастью, как обычно, хромает. Газоны выше уровня дороги, некоторые под наклоном, некоторые без поребриков. Более высокие бордюры срезаны до уровня низких, идущих вровень с асфальтовым покрытием (какое-то хитрое решение). Пешеходные дорожки часто упираются в проезжую часть и не имеют продолжения. Пешеходная дорожка от парковки около бассейна превращается в разбитую (ее просто не реконструировали), в таком же состоянии проезжая часть с правой стороны бассейна (торчащая арматура, камни). Ну а на отреставрированной хоккейной коробке забыли про раздевалки. Тем, кто арендует коробку для игры в хоккей, нужно переодеваться в павильоне, а это метров 100, потом идти на коньках на лед🙈"
69,благоустройство,нейтрально,Пришел ответ на наш запрос о сносе деревьев в сквере Писателей Урала. Деревья в аварийном состоянии...  К посту https://vk.com/wall-70901456_31573
70,транспорт,плохо,"Трамвайная остановка «Шарташская» (в сторону «Шевченко»). Здесь до сих пор нет посадочной платформы. И люди вот таким вот образом попадают к трамваям: выходят на проезжую часть перед автомобилями, подвергают себя опасности. На видео также видно, как люди жмутся в ожидании своего трамвая на узкой полоске асфальта, между трамвайными путями и потоком машин.   ❗ЭТО ОПАСНО! И так быть не должно! Давайте все вместе попросим Администрацию Екатеринбурга организовать в этом месте безопасную трамвайную остановку с посадочной платформой.  Заходим в электронную приёмную на сайте Екатеринбург.рф и пишем обращение следующего содержания:  1. На остановках трамваев ""Шарташская"" в обе стороны посадка и высадка пассажиров происходит с проезжей части, что небезопасно для пассажиров.  2. В районе указанных остановок паркуются машины, скрывающие пассажиров, направляющихся к трамваю от глаз водителей движущегося по улице автотранспорта. 3. Движение по улице Луначарского двухполосное, и возможна ситуация, когда машина, движущаяся в левом ряду, закроет от водителя в правом ряду выходящих из трамвая пассажиров. 4. Посадка с проезжей части замедляет движение автотранспорта.  В связи с изложенным прошу включить работы по проектированию и организации платформ для посадки-высадки на вышеуказанной трамвайной остановке в муниципальную программу «Развитие системы общественного транспорта и обеспечение безопасности дорожного движения в муниципальном образовании «город Екатеринбург» на 2017 – 2021 годы», пункт 12 «Реконструкция и строительство остановок городского пассажирского транспорта»."
72,благоустройство,хорошо,"Трехэтажное здание возвели по адресу проспект Академика Сахарова, 85. Сейчас в здании устанавливают мебель и необходимое оборудование, специалисты проверяют работу пожарной системы, вентиляции и видеонаблюдения. Ввести учреждение в эксплуатацию планируют в следующем году. Akademekb побывали внутри нового детского учреждения и подготовили фотоподборку.  #новости@akademekb"
