,Вопрос,Ответ ведомства
10,"большая просьба запустить больше транспорта по улице университетской в г. сургуте. ходит один только 26 автобус . я работаю в сити молле. на работу толком не доедешь, а вечером вообще приходиться ездить на такси  домой, (сами понимаете очень затратно), так как после 22.00 туда не ездит не один автобус.","в настоящее время перевозка пассажиров по ул. университетской осуществляется автобусами маршрута no 26. в будние дни на линию выпускается 5 единиц (40 рейсов), отправление последнего рейса с пос. снежный в 21.20.

от трц «сити-молл» до участка по ул. университетская, от ул. и. каролинского до ул. и. захарова, проходят автобусы маршрута no52, ежедневно 2 единицы (40 рейсов), вечерние рейсы от торгового центра в 21:50 и 22:35.

в 2020 году планируется проведение обследования маршрутной сети городского транспорта в рамках разработки комплексной схемы организации транспортного обслуживания населения. все предложения будут переданы разработчикам."
11,"здравствуйте, во дворах есть подземные паркинги, но они стоят пустые , а машины ставят около подъезда( скрывая номера), мешают проезду. паркинг стоит 5000 т. р, не все могут себе позволить такую сумму в месяц. так сделайте цену в 3000 т. и люди будут ставить в паркинг и владельцам парковки будет доход и дворы будут свободны.","подземные  паркинги  в  микрорайоне  38  являются  отдельно  стоящими  от многоквартирных  домов  подземными  зданиями  (паркингами),  которые  на  праве собственности принадлежит ооо «сибпромстрой -югория» (услуги по размещению транспортных средств в паркингах оказывает ооо «спс паркинг»).

в  микрорайоне  38  эксплуатируются  три  парковки:  ул.  тюменский  тракт  2/1,  ул. билецкого 6/1, ул. усольцева 26/1.услуги по размещению транспортных средств в подземном паркинге предоставляются в  соответствии  с  договором  оказания  услуг  по  размещению  транспортных  средств, стоимость которых в рамках этого договора определяется по соглашению сторон. для льготной  категории  граждан  (инвалиды  1  и  2  группы,  многодетные  семьи)  снижена стоимость пользования паркингом с 5000 до 2000 рублей.

полномочий  по  регулированию  тарифов  на  оказание  услуг  по  размещению транспортных средств в подземной парковке администрация города сургута не имеет. данный вопрос регулируется экономическими законами спроса и предложения учитывая, что действующим законодательством не предусмотрено регулирование тарифов (стоимости) на  услуги организаций частных форм собственности в части размещения транспортных средств в подземном паркинге, организации вправе оказывать такие услуги по самостоятельно определенным тарифам (стоимости)."
12,"здравствуйте. дэп г ханты-мансийска игнорирует заявки на чистку тротуара вдоль забора по ул. сирина 72 около детского сада ""ласточка""",работы по уборке снежных масс с пешеходной дорожки (тротуара) в районе д.с. ласточка (по ул. сирина) по состоянию на 10.02.2020 год выполнены.
13,"у нас в семье такой вопрос. я моя жена и сын зарегистрированы и живём в хмао-югра г. когалым. у нас по плану родится ребенок в конце апреля 2020 года. на момент рождения ребенка (роды) наша семья будет находиться в другом регионе. по приезду в мае 2020 года  в г. когалым мы можем претендовать на ""подарок"" от хмао-югра в загсе?","в ответ на ваше обращение сообщаем, что вопросы регламентирующие порядок получения, учёта, хранения и выдачи подарка «расту в югре» утверждены приказом департамента социального развития хмао-югры от 11.12.2019 №1292-р, постановлением правительства хмао-югры от 03.10.2019 №345-п, а также в законе хмао-югры от 11.09.2019 года №55-оз (копии прилагаем).

обращаем ваше внимание, что ребёнок может родиться в любом регионе российской федерации, но для получения подарка «расту в югре» необходима регистрация его рождения на территории хмао-югры."
14,"затруднен или невозможен проход для маломобильных групп населения под остановку ""горпищекомбинат""  на улице пионерская ул., 28","на  ваше обращение поступившее в геоинформационный сервис «книга предложений» сообщаю, что работы по установке нового остановочного комплекса («г – образного вида») запланированы на летний период 2020 года."
15,сломано ограждение недалеко от остановки югорская звезда на т-образном перекрестке по ул. строителей,"на ваше обращение в геоинформационный сервис «книга предложений» (внешний ключ: 167818) сообщаю, что работы по восстановлению перильного ограждения по ул. строителей (район остановочного комплекса «югорская звезда») выполнены в полном объеме."
16,"у меня такой вопрос, до февраля 2019 года мне в личный кабинет на госуслугах приходило начисление за детский садик. на дворе сентябрь и на протяжении 6 месяцев начисления отсутствуют. ходим в детский садик брусничка, к садику нареканий нет, спасибо педагогическому составу, а вот департамент образования не справляется со своими обязанностями в части начисления оплаты за детский сад.","на ваше обращение об отсутствии данных о начислении родительской платы за присмотр и уход за ребенком в дошкольной образовательной организации в личном кабинете на портале «госуслуги», сообщаю.        

данная проблема устранена, в личном кабинете на портале «госуслуги» вы можете увидеть актуальную информацию после 10.12.2019. причиной отсутствия данных являлся технический сбой."
17,"собственник цокольного этажа делает реконструкцию здания. заасфальтировали газон и возводит конструкцию из металлопрофиля . так же  границы конструкции заходят на территорию первого этажа. просим провести проверку на законность реконструкции многоквартирного дома по ул. сирина, д.78, секция №3.","по вопросу самовольной реконструкции здания, расположенного  по адресу ул. сирина, д. 78, секция №3 в г. ханты-мансийске, сообщаем, что 19.09.2019 управлением муниципального контроля администрации г. ханты-мансийска произведен осмотр многоквартирного жилого дома по адресу г. ханты-мансийск, ул. сирина, 78, секция №3, которым зафиксировано возведение пристроя из стекла со стороны автомобильной стоянки жилого дома.
в адрес департамента градостроительства и архитектуры администрации г. ханты-мансийска заявления о реконструкции вышеуказанного объекта не поступало.
на основании вышеизложенного, департамент градостроительства и архитектуры администрации г. ханты-мансийска осуществляет мероприятия по подготовке сбору необходимых документов и сведений в целях принятия решения о направлении искового заявления в суд.
о принятом решении вы будете уведомлены дополнительно."
18,"во дворе дома №5 по улице осенней  стоит бесхозная машина нива  регистрационные номера отсутствуют.
транспортное средство не используется, занимает место на стоянке. само транспортное средство и территория вокруг него захламляется.
большая просьба найти хозяина и обязать его убрать транспортное средство или другими силами убрать транспортное средство.","на ваше обращение, по факту размещения разукомплектованного  автомобиля у дома № 5 по ул. осенняя города ханты-мансийска сообщаю, что в ходе осуществления контрольных мероприятий в отношении владельца автомобиля ваз 2121 составлен административный протокол по ч. 1 ст. 29 (размещение разукомплектованного транспортное средства на придомовой территории многоквартирного дома) закона ханты-мансийского автономного округа - югры от 11.06.2010 №102-оз «об административных правонарушениях».
с лицом, допустившим данное административное правонарушение, проведена профилактическая работа о недопущении размещения и хранения разукомплектованного транспортного средства на прилегающей территории многоквартирного дома и соблюдении правил благоустройства территории города, утвержденных думой города ханты-мансийска от 02.06.2014 года №517-v рд.
в настоящее время собственником проводятся мероприятия по эвакуации вышеуказанного автомобиля. разукомплектованный автомобиль  будет эвакуирован в срок до 31.07.2019."
19,"здравствуйте,в г.пыть - ях многие столкнулись с огромной проблемой прохождения мед.комиссии,в связи с отсутствием врача - специалиста- медицинского психолога в детской поликлиники.неоднократно жители города эту проблему озвучивали в соц.сетях,но учитывая то,что помощники и пресс служба мониторит соц.сети,до сих пор проблема не решена! вопрос- когда будет решена данная проблема?","по информации, предоставленной пыть-яхской окружной больницей, вопрос отсутствия врача – медицинского психолога решен путем привлечения специалиста по совмещению."
